,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
0,1,67,176.0,74.0,12.0,103.0,39.6,76.0
1,1,34,178.0,79.0,19.0,96.0,40.6,93.0
2,1,38,178.0,77.0,14.0,82.0,40.5,49.0
3,1,39,169.0,66.0,8.0,90.0,39.6,36.0
4,0,23,169.0,73.0,25.0,102.0,40.7,122.0
5,0,50,183.0,89.0,23.0,96.0,40.4,130.0
6,1,21,185.0,80.0,12.0,103.0,39.9,65.0
7,1,47,145.0,47.0,7.0,84.0,39.6,30.0
8,0,56,165.0,74.0,25.0,93.0,40.8,129.0
9,1,53,157.0,65.0,10.0,97.0,39.9,55.0
10,0,24,180.0,81.0,27.0,94.0,40.6,106.0
11,1,22,145.0,43.0,9.0,77.0,39.9,28.0
12,1,62,148.0,50.0,10.0,93.0,39.9,55.0
13,0,62,196.0,97.0,30.0,112.0,40.8,264.0
14,0,33,197.0,101.0,1.0,80.0,38.2,3.0
15,1,40,157.0,57.0,23.0,104.0,40.7,142.0
16,1,25,170.0,62.0,19.0,96.0,40.5,95.0
17,1,71,153.0,56.0,11.0,94.0,40.0,62.0
18,0,52,160.0,68.0,5.0,79.0,39.0,14.0
19,1,38,164.0,64.0,8.0,90.0,39.8,36.0
20,1,43,156.0,54.0,24.0,108.0,40.9,160.0
21,0,34,156.0,65.0,16.0,96.0,40.1,70.0
22,1,67,161.0,57.0,18.0,94.0,40.3,100.0
23,0,26,174.0,79.0,1.0,74.0,37.7,1.0
24,0,21,191.0,95.0,18.0,89.0,40.6,60.0
25,0,29,167.0,71.0,2.0,77.0,37.9,3.0
26,1,20,158.0,54.0,25.0,108.0,40.7,157.0
27,1,33,163.0,59.0,14.0,95.0,40.3,71.0
28,0,20,192.0,95.0,15.0,95.0,40.1,63.0
29,1,22,151.0,50.0,7.0,98.0,39.5,37.0
30,1,35,173.0,71.0,29.0,114.0,41.0,202.0
31,1,63,159.0,62.0,29.0,104.0,40.4,189.0
32,0,57,195.0,93.0,24.0,106.0,40.7,182.0
33,0,38,197.0,94.0,3.0,83.0,38.5,10.0
34,0,39,188.0,91.0,24.0,104.0,40.8,153.0
35,1,35,168.0,61.0,12.0,99.0,39.5,66.0
36,0,61,167.0,74.0,10.0,86.0,40.1,43.0
37,0,34,171.0,68.0,14.0,87.0,40.5,43.0
38,1,48,171.0,70.0,13.0,95.0,40.4,67.0
39,0,30,181.0,79.0,10.0,95.0,40.1,43.0
40,0,70,167.0,76.0,19.0,97.0,40.6,123.0
41,0,40,180.0,78.0,14.0,89.0,40.1,54.0
42,1,20,170.0,67.0,17.0,93.0,40.3,76.0
43,1,49,164.0,59.0,27.0,104.0,40.8,170.0
44,1,57,176.0,74.0,12.0,94.0,40.1,62.0
45,1,64,176.0,77.0,27.0,112.0,40.8,194.0
46,1,28,163.0,66.0,21.0,99.0,40.8,111.0
47,1,49,185.0,79.0,27.0,102.0,41.2,157.0
48,0,21,182.0,82.0,3.0,92.0,38.6,10.0
49,0,62,196.0,93.0,26.0,106.0,40.8,203.0
50,0,41,176.0,74.0,25.0,105.0,41.0,156.0
51,1,51,167.0,62.0,3.0,87.0,38.7,13.0
52,0,79,172.0,75.0,11.0,89.0,40.1,62.0
53,1,27,149.0,55.0,25.0,98.0,40.6,133.0
54,0,26,185.0,86.0,3.0,83.0,38.8,7.0
55,1,69,191.0,88.0,6.0,82.0,38.8,23.0
56,0,43,170.0,78.0,23.0,104.0,40.5,144.0
57,1,53,166.0,54.0,17.0,101.0,40.2,104.0
58,1,26,177.0,75.0,12.0,89.0,40.0,49.0
59,1,47,173.0,67.0,2.0,86.0,38.1,8.0
60,0,57,195.0,98.0,4.0,89.0,38.8,20.0
61,0,26,184.0,85.0,17.0,96.0,40.4,75.0
62,1,53,166.0,68.0,29.0,105.0,40.8,184.0
63,1,28,155.0,55.0,11.0,84.0,39.9,42.0
64,1,71,156.0,56.0,15.0,98.0,40.2,91.0
65,0,76,187.0,92.0,22.0,104.0,40.6,180.0
66,0,69,185.0,85.0,30.0,113.0,40.7,271.0
67,1,35,163.0,61.0,27.0,113.0,40.7,189.0
68,0,32,189.0,89.0,19.0,104.0,40.0,114.0
69,1,75,166.0,68.0,12.0,90.0,40.1,62.0
70,0,52,195.0,101.0,7.0,95.0,39.7,41.0
71,0,71,205.0,115.0,20.0,95.0,40.7,141.0
72,0,53,161.0,66.0,8.0,87.0,39.5,31.0
73,0,21,206.0,114.0,17.0,103.0,40.3,99.0
74,0,34,197.0,92.0,14.0,103.0,40.3,84.0
75,0,48,181.0,91.0,28.0,104.0,40.9,190.0
76,1,49,167.0,68.0,29.0,107.0,40.9,188.0
77,1,54,162.0,64.0,15.0,90.0,40.2,72.0
78,0,51,181.0,87.0,9.0,91.0,39.6,44.0
79,0,28,195.0,100.0,22.0,107.0,41.0,142.0
80,1,52,157.0,56.0,26.0,110.0,40.8,183.0
81,0,37,185.0,80.0,18.0,105.0,40.7,111.0
82,1,35,156.0,57.0,3.0,84.0,38.3,12.0
83,0,30,180.0,84.0,16.0,98.0,40.1,78.0
84,0,28,202.0,99.0,15.0,88.0,39.9,54.0
85,0,54,181.0,90.0,12.0,94.0,40.0,67.0
86,1,61,162.0,66.0,10.0,84.0,39.8,43.0
87,0,61,197.0,104.0,28.0,108.0,41.1,232.0
88,1,75,153.0,62.0,11.0,87.0,40.0,54.0
89,0,54,187.0,88.0,8.0,92.0,39.3,42.0
90,0,45,175.0,76.0,15.0,84.0,40.5,50.0
91,0,51,173.0,77.0,4.0,78.0,38.8,11.0
92,1,39,187.0,87.0,13.0,101.0,40.2,70.0
93,0,36,182.0,82.0,8.0,90.0,39.5,31.0
94,1,30,176.0,73.0,9.0,80.0,39.6,29.0
95,0,36,174.0,78.0,13.0,92.0,40.1,54.0
96,0,26,177.0,80.0,13.0,95.0,39.9,54.0
97,1,39,169.0,62.0,29.0,113.0,41.0,204.0
98,1,51,170.0,71.0,16.0,100.0,40.3,92.0
99,0,53,196.0,97.0,27.0,108.0,40.9,210.0
100,1,34,173.0,69.0,22.0,104.0,40.7,130.0
101,1,43,166.0,62.0,8.0,86.0,39.4,34.0
102,1,44,159.0,59.0,10.0,90.0,39.7,47.0
103,0,37,196.0,91.0,28.0,110.0,41.0,201.0
104,0,39,194.0,99.0,17.0,95.0,40.2,88.0
105,1,24,167.0,62.0,17.0,88.0,40.3,70.0
106,0,68,190.0,95.0,15.0,94.0,40.2,95.0
107,0,65,178.0,84.0,17.0,99.0,40.3,114.0
108,0,24,175.0,78.0,4.0,81.0,39.1,8.0
109,0,27,172.0,71.0,29.0,109.0,40.6,177.0
110,1,41,159.0,60.0,18.0,97.0,40.8,97.0
111,0,72,172.0,82.0,19.0,107.0,40.5,156.0
112,0,28,192.0,92.0,14.0,93.0,40.3,59.0
113,1,34,156.0,56.0,17.0,93.0,40.3,83.0
114,1,37,164.0,60.0,17.0,102.0,40.2,100.0
115,0,38,182.0,88.0,9.0,94.0,39.7,43.0
116,1,36,153.0,57.0,28.0,113.0,41.0,198.0
117,1,26,158.0,58.0,7.0,85.0,39.8,27.0
118,0,21,199.0,95.0,13.0,90.0,39.9,45.0
119,0,46,183.0,81.0,8.0,86.0,39.5,30.0
120,0,32,193.0,96.0,18.0,101.0,40.3,102.0
121,1,53,172.0,70.0,25.0,102.0,40.6,150.0
122,0,63,184.0,91.0,18.0,98.0,40.6,119.0
123,0,74,205.0,112.0,6.0,83.0,39.0,32.0
124,0,57,177.0,79.0,29.0,117.0,40.7,259.0
125,1,54,159.0,63.0,8.0,84.0,39.7,34.0
126,1,66,162.0,66.0,24.0,99.0,40.7,143.0
127,1,73,154.0,57.0,10.0,90.0,39.9,53.0
128,0,63,178.0,76.0,6.0,87.0,39.1,28.0
129,0,62,176.0,84.0,11.0,95.0,40.1,66.0
130,1,43,158.0,60.0,17.0,99.0,40.4,96.0
131,1,21,181.0,68.0,6.0,86.0,39.2,23.0
132,1,44,154.0,62.0,18.0,96.0,40.4,96.0
133,1,34,169.0,67.0,8.0,76.0,39.5,23.0
134,0,61,183.0,87.0,29.0,108.0,40.6,230.0
135,0,26,177.0,78.0,23.0,104.0,40.3,125.0
136,0,34,183.0,84.0,16.0,90.0,40.0,62.0
137,1,21,171.0,68.0,19.0,97.0,40.1,94.0
138,0,45,179.0,78.0,24.0,114.0,40.6,189.0
139,1,56,165.0,70.0,18.0,98.0,40.4,101.0
140,0,40,167.0,66.0,6.0,87.0,39.1,20.0
141,1,69,172.0,69.0,11.0,95.0,39.7,61.0
142,0,25,175.0,78.0,28.0,108.0,40.9,168.0
143,0,21,186.0,88.0,24.0,102.0,40.7,123.0
144,0,60,187.0,88.0,29.0,108.0,40.8,229.0
145,1,25,159.0,59.0,21.0,96.0,40.9,105.0
146,1,36,176.0,74.0,23.0,108.0,40.8,145.0
147,1,57,170.0,72.0,26.0,103.0,40.3,160.0
148,1,66,145.0,49.0,18.0,104.0,40.2,121.0
149,1,21,171.0,68.0,9.0,81.0,39.7,29.0
150,1,70,189.0,86.0,28.0,101.0,40.6,167.0
151,0,22,180.0,79.0,21.0,95.0,40.6,82.0
152,1,52,179.0,76.0,9.0,90.0,39.8,42.0
153,1,50,162.0,59.0,14.0,99.0,40.3,81.0
154,1,71,146.0,51.0,17.0,99.0,40.1,106.0
155,1,51,160.0,63.0,2.0,82.0,38.3,8.0
156,1,22,159.0,58.0,9.0,87.0,39.4,36.0
157,1,27,160.0,64.0,14.0,98.0,39.8,73.0
158,1,61,147.0,56.0,18.0,98.0,40.2,106.0
159,1,62,145.0,50.0,3.0,82.0,38.6,13.0
160,1,63,160.0,61.0,10.0,89.0,40.1,49.0
161,0,39,198.0,105.0,23.0,102.0,40.7,146.0
162,1,31,153.0,54.0,4.0,86.0,39.1,16.0
163,1,47,173.0,74.0,10.0,97.0,39.8,53.0
164,0,58,189.0,96.0,27.0,107.0,40.8,212.0
165,1,41,154.0,58.0,6.0,91.0,39.2,29.0
166,0,44,196.0,95.0,3.0,83.0,38.8,11.0
167,0,48,177.0,86.0,27.0,114.0,41.0,221.0
168,0,79,176.0,82.0,30.0,109.0,40.8,265.0
169,0,30,186.0,86.0,27.0,108.0,41.1,173.0
170,0,48,159.0,60.0,21.0,98.0,40.6,110.0
171,1,64,156.0,51.0,5.0,82.0,39.1,22.0
172,1,33,158.0,61.0,21.0,107.0,40.8,132.0
173,1,23,170.0,66.0,12.0,86.0,40.3,46.0
174,0,56,184.0,85.0,26.0,107.0,40.9,195.0
175,1,52,165.0,65.0,23.0,106.0,40.6,149.0
176,1,48,146.0,46.0,7.0,88.0,39.5,33.0
177,0,23,180.0,85.0,2.0,85.0,37.8,5.0
178,1,22,153.0,57.0,1.0,81.0,38.0,3.0
179,0,28,187.0,85.0,23.0,92.0,40.2,89.0
180,0,73,188.0,93.0,29.0,111.0,40.9,264.0
181,1,78,187.0,84.0,4.0,84.0,39.0,17.0
182,0,23,180.0,82.0,17.0,98.0,40.2,76.0
183,0,59,182.0,86.0,3.0,81.0,38.6,11.0
184,0,79,175.0,83.0,14.0,93.0,40.2,90.0
185,1,27,175.0,71.0,22.0,99.0,40.8,115.0
186,1,63,161.0,61.0,11.0,91.0,40.4,56.0
187,0,23,177.0,85.0,22.0,113.0,40.7,150.0
188,0,42,179.0,81.0,8.0,82.0,39.7,24.0
189,1,38,161.0,64.0,24.0,101.0,40.3,137.0
190,1,51,163.0,59.0,24.0,107.0,40.4,160.0
191,0,21,187.0,84.0,27.0,97.0,40.8,116.0
192,1,56,162.0,63.0,20.0,110.0,40.7,140.0
193,1,74,167.0,71.0,20.0,100.0,40.6,123.0
194,0,35,178.0,80.0,11.0,90.0,39.8,42.0
195,1,64,165.0,69.0,29.0,108.0,40.8,199.0
196,1,67,165.0,65.0,24.0,103.0,40.4,154.0
197,1,63,165.0,65.0,26.0,105.0,40.6,171.0
198,0,48,186.0,85.0,17.0,88.0,40.6,72.0
199,0,63,182.0,86.0,14.0,96.0,40.1,87.0
200,0,42,194.0,100.0,13.0,98.0,40.1,75.0
201,0,42,186.0,89.0,13.0,89.0,40.2,55.0
202,1,65,157.0,54.0,23.0,97.0,40.4,136.0
203,1,66,179.0,75.0,30.0,113.0,41.1,220.0
204,0,20,194.0,92.0,10.0,92.0,39.7,37.0
205,0,26,187.0,82.0,29.0,107.0,40.2,174.0
206,1,44,169.0,62.0,22.0,103.0,40.5,133.0
207,1,37,160.0,63.0,18.0,101.0,40.4,103.0
208,1,49,172.0,71.0,13.0,91.0,39.9,62.0
209,0,68,173.0,77.0,12.0,91.0,39.8,66.0
210,1,52,157.0,56.0,16.0,93.0,40.2,83.0
211,1,75,161.0,60.0,24.0,102.0,40.8,157.0
212,1,33,152.0,51.0,27.0,105.0,41.1,168.0
213,0,30,184.0,92.0,3.0,74.0,38.7,4.0
214,0,33,195.0,94.0,12.0,81.0,40.3,32.0
215,0,23,197.0,96.0,4.0,85.0,38.7,11.0
216,0,55,183.0,84.0,5.0,80.0,39.0,17.0
217,0,42,184.0,86.0,14.0,92.0,39.9,64.0
218,0,77,166.0,66.0,25.0,109.0,40.4,210.0
219,1,21,179.0,73.0,9.0,90.0,39.6,37.0
220,1,33,163.0,63.0,27.0,102.0,40.6,155.0
221,0,20,197.0,93.0,11.0,97.0,39.8,49.0
222,0,31,178.0,80.0,13.0,94.0,39.8,55.0
223,1,46,169.0,70.0,18.0,94.0,40.3,90.0
224,1,51,166.0,70.0,22.0,92.0,40.9,108.0
225,1,22,167.0,59.0,16.0,99.0,40.2,85.0
226,1,32,162.0,65.0,16.0,94.0,40.1,78.0
227,1,32,167.0,69.0,28.0,103.0,40.8,161.0
228,0,42,196.0,95.0,18.0,94.0,40.4,91.0
229,1,33,171.0,70.0,10.0,92.0,39.8,46.0
230,0,43,176.0,79.0,26.0,115.0,41.2,207.0
231,0,38,203.0,107.0,7.0,98.0,39.4,40.0
232,0,60,182.0,90.0,11.0,90.0,40.2,58.0
233,0,64,184.0,89.0,16.0,102.0,40.3,116.0
234,0,29,177.0,81.0,5.0,79.0,39.3,9.0
235,1,49,150.0,49.0,25.0,111.0,41.0,180.0
236,0,20,176.0,80.0,18.0,101.0,40.4,86.0
237,0,31,196.0,96.0,11.0,85.0,40.1,35.0
238,1,64,176.0,74.0,6.0,97.0,39.1,34.0
239,1,25,160.0,54.0,13.0,86.0,40.4,52.0
240,0,52,197.0,99.0,3.0,80.0,38.6,11.0
241,1,63,161.0,57.0,11.0,89.0,40.1,55.0
242,0,59,177.0,82.0,13.0,84.0,39.8,53.0
243,1,21,147.0,45.0,23.0,100.0,40.6,128.0
244,1,64,151.0,50.0,6.0,87.0,39.4,29.0
245,1,53,147.0,49.0,18.0,101.0,40.2,111.0
246,1,31,153.0,53.0,10.0,91.0,39.8,47.0
247,0,39,197.0,96.0,3.0,78.0,38.6,8.0
248,0,65,183.0,82.0,11.0,87.0,39.6,53.0
249,1,45,155.0,56.0,27.0,100.0,40.9,158.0
250,1,30,165.0,59.0,3.0,79.0,38.2,10.0
251,1,75,140.0,48.0,5.0,85.0,39.1,24.0
252,0,26,197.0,90.0,24.0,104.0,40.7,137.0
253,1,56,164.0,67.0,11.0,86.0,39.9,48.0
254,1,46,161.0,54.0,10.0,88.0,40.2,46.0
255,0,55,182.0,87.0,12.0,95.0,39.8,68.0
256,0,45,187.0,91.0,25.0,109.0,41.0,185.0
257,1,30,169.0,69.0,6.0,89.0,39.4,25.0
258,1,33,172.0,67.0,2.0,84.0,38.5,8.0
259,1,39,167.0,63.0,25.0,107.0,40.9,160.0
260,1,64,174.0,72.0,28.0,108.0,40.9,191.0
261,1,40,171.0,65.0,20.0,101.0,40.7,115.0
262,1,23,152.0,51.0,19.0,100.0,40.4,105.0
263,0,28,207.0,103.0,10.0,96.0,40.1,49.0
264,1,44,174.0,75.0,27.0,105.0,40.8,165.0
265,1,20,179.0,74.0,3.0,92.0,38.7,13.0
266,1,53,167.0,63.0,2.0,74.0,38.1,6.0
267,1,63,157.0,58.0,28.0,100.0,40.6,172.0
268,1,23,171.0,63.0,24.0,104.0,40.8,139.0
269,1,36,157.0,56.0,12.0,82.0,39.7,45.0
270,1,22,178.0,68.0,23.0,100.0,40.8,121.0
271,0,42,186.0,84.0,7.0,87.0,39.7,27.0
272,1,24,166.0,64.0,2.0,84.0,38.4,7.0
273,0,76,203.0,106.0,8.0,95.0,39.3,57.0
274,0,69,182.0,87.0,18.0,93.0,40.7,109.0
275,0,60,178.0,75.0,6.0,87.0,39.4,27.0
276,0,22,203.0,97.0,8.0,90.0,39.4,28.0
277,0,28,194.0,95.0,24.0,106.0,40.5,149.0
278,1,62,156.0,63.0,13.0,86.0,40.4,59.0
279,1,62,166.0,65.0,1.0,73.0,37.9,3.0
280,1,47,176.0,77.0,15.0,87.0,39.8,63.0
281,0,20,179.0,77.0,23.0,97.0,40.6,94.0
282,0,27,182.0,79.0,29.0,103.0,41.1,156.0
283,0,68,185.0,87.0,10.0,101.0,39.9,72.0
284,0,21,200.0,98.0,29.0,111.0,40.7,194.0
285,1,58,192.0,83.0,18.0,101.0,40.8,105.0
286,1,60,161.0,64.0,21.0,100.0,40.3,126.0
287,0,32,173.0,77.0,16.0,97.0,40.0,75.0
288,0,38,170.0,75.0,14.0,95.0,40.4,65.0
289,0,62,196.0,97.0,29.0,108.0,40.6,238.0
290,1,26,135.0,43.0,17.0,102.0,40.4,100.0
291,1,73,181.0,76.0,19.0,106.0,40.4,127.0
292,1,32,166.0,66.0,14.0,89.0,39.9,60.0
293,0,36,193.0,95.0,10.0,97.0,40.0,52.0
294,0,23,184.0,81.0,15.0,102.0,40.3,76.0
295,1,50,173.0,65.0,16.0,98.0,40.4,89.0
296,0,59,172.0,80.0,16.0,102.0,40.0,109.0
297,0,26,173.0,77.0,23.0,103.0,40.2,121.0
298,0,47,166.0,71.0,9.0,95.0,39.5,45.0
299,0,26,191.0,98.0,11.0,101.0,40.0,60.0
300,0,62,169.0,68.0,13.0,88.0,40.1,59.0
301,1,26,164.0,61.0,12.0,88.0,40.2,50.0
302,0,69,180.0,86.0,28.0,112.0,40.9,249.0
303,0,56,192.0,97.0,20.0,109.0,40.5,161.0
304,0,49,180.0,81.0,21.0,103.0,40.4,136.0
305,1,34,178.0,74.0,10.0,99.0,39.7,53.0
306,0,39,174.0,76.0,17.0,83.0,40.5,49.0
307,0,76,193.0,104.0,16.0,90.0,40.4,101.0
308,1,46,154.0,54.0,28.0,104.0,40.8,177.0
309,1,38,150.0,50.0,1.0,81.0,37.9,4.0
310,1,23,158.0,58.0,26.0,109.0,40.5,166.0
311,0,68,188.0,90.0,10.0,85.0,40.1,49.0
312,1,31,161.0,57.0,11.0,96.0,40.2,57.0
